வார்த்தைகள்,எண்ணிக்கை
மாமன்னரின்,2
செய்த,2
நேரம்,2
கேட்காதீர்கள்,2
முழுநிலவு,2
ரஜோ,2
தர்மபதம்,2
இருட்டை,2
செம்மண்,2
என்னில்,2
வைதிகர்,2
முனிவர்களும்,2
கஸ்யபன்,2
வெளிவந்து,2
துவைபாயன,2
திறந்து,2
பதின்மூன்றாவது,2
தானே,2
கணபதியை,2
சொன்னீர்கள்,2
நாகர்குலத்,2
உதடுகள்,2
எடுக்கப்பட்ட,2
எனக்களித்த,2
படகில்,2
பின்னால்,2
பின்,2
மண்ணை,2
அமர்ந்துகொண்டார்,2
உரசி,2
இரவும்,2
உடலும்,2
பல,2
இன்று,2
அதுவரை,2
வேள்விக்கூடத்தில்,2
அக்கணமே,2
என்பது,2
குதிரைகள்,2
சித்தத்தை,2
இருந்தன,2
அறியவில்லை,2
பல்லாயிரம்,2
இச்சையே,2
பிரஜாபதிக்கு,2
தெரிந்த,2
இருக்கிறது,2
முனிவர்களின்,2
கற்ற,2
வீரம்,2
நிறைத்திருந்தன,2
தீயில்,2
பறந்து,2
அணைத்து,2
முடிவில்லாமல்,2
போலிருந்தது,2
கண்களை,2
அளித்தனர்,2
பற்கள்,2
கேட்டார்,2
உங்களை,2
நெளிந்து,2
பதில்,2
அஸ்தினபுரிக்கு,2
தருணம்,2
அடக்கி,2
கண்டதுமே,2
தாயின்,2
கட்டத்தில்,2
அரியவையும்,2
குணம்,2
அவர்களுக்கு,2
கொள்,2
செந்நிறமான,2
தாங்கிய,2
இருக்கிறேன்,2
கேட்டதும்,2
யமுனையின்,2
வாழ்க்கையை,2
அவியாக,2
பூசிய,2
தலைமுறைகள்,2
அதில்,2
என்பெயர்,2
ஆனகன்,2
இருக்கக்,2
குருஷேத்ரம்,2
பாம்புகள்,2
ஒருகணம்கூட,2
எங்களுக்கு,2
அழைத்துச்சென்று,2
மருத்துவச்சிகள்,2
கத்ருதேவி,2
காவல்,2
அமைதியாக,2
ரித்விக்குகள்,2
இறுதிநாள்,2
பெண்கள்,2
